2026-04-12,2026-04-12.1,2026-04-12.2,2026-04-12.3,2026-04-12.4,2026-04-13,2026-04-13.1,2026-04-13.2,2026-04-13.3,2026-04-14,2026-04-14.1,2026-04-14.2,2026-04-14.3,2026-04-15,2026-04-15.1,2026-04-15.2,2026-04-16,2026-04-16.1,2026-04-16.2,2026-04-16.3,2026-04-17,2026-04-17.1,2026-04-18,2026-04-18.1,2026-04-19,2026-04-19.1,2026-04-20,2026-04-20.1,2026-04-20.2,2026-04-21,2026-04-22,2026-04-22.1,2026-04-23,2026-04-23.1,2026-04-24,2026-04-24.1,2026-04-24.2,2026-04-25,2026-04-26,2026-04-27,2026-04-27.1,2026-04-28,2026-04-28.1,2026-04-29,2026-04-30,2026-04-30.1,2026-05-01,2026-05-01.1,2026-05-02
31895,31895,31895,31895,31895,31888,31888,31888,31888,31895,31895,31895,31895,31886,31886,31886,31887,5112.0,5112.0,5112.0,4322.0,4322.0,1659.0,1659.0,1707.0,1707.0,1711.0,1711.0,1711.0,1713.0,1709.0,1709.0,1705.0,1705.0,1364.0,1364.0,1364.0,1812.0,2088.0,2458.0,2458.0,4803.0,4803.0,5292.0,5370.0,5370.0,5412.0,5412.0,9495.0
23067,23067,23067,23067,23067,23059,23059,23059,23059,23060,23060,23060,23060,23059,23059,23059,23065,4321.0,4321.0,4321.0,1421.0,1421.0,1427.0,1427.0,1444.0,1444.0,1450.0,1450.0,1450.0,927.0,938.0,938.0,937.0,937.0,1034.0,1034.0,1034.0,1061.0,1071.0,1230.0,1230.0,2475.0,2475.0,2488.0,3485.0,3485.0,4904.0,4904.0,5444.0
17043,17043,17043,17043,17043,17050,17050,17050,17050,17046,17046,17046,17046,17049,17049,17049,17037,1344.0,1344.0,1344.0,1353.0,1353.0,1360.0,1360.0,1362.0,1362.0,1365.0,1365.0,1365.0,698.0,781.0,781.0,933.0,933.0,941.0,941.0,941.0,957.0,1017.0,1021.0,1021.0,1850.0,1850.0,2025.0,3045.0,3045.0,3476.0,3476.0,4977.0
16496,16496,16496,16496,16496,16493,16493,16493,16493,16496,16496,16496,16496,16496,16496,16496,16497,1337.0,1337.0,1337.0,1184.0,1184.0,794.0,794.0,803.0,803.0,1012.0,1012.0,1012.0,666.0,769.0,769.0,868.0,868.0,907.0,907.0,907.0,936.0,925.0,937.0,937.0,1573.0,1573.0,1590.0,2052.0,2052.0,2238.0,2238.0,3509.0
13201,13201,13201,13201,13201,13194,13194,13194,13194,13206,13206,13206,13206,13199,13199,13199,13194,780.0,780.0,780.0,790.0,790.0,582.0,582.0,601.0,601.0,612.0,612.0,612.0,639.0,642.0,642.0,700.0,700.0,652.0,652.0,652.0,920.0,910.0,917.0,917.0,1258.0,1258.0,1419.0,1755.0,1755.0,2087.0,2087.0,2345.0
13161,13161,13161,13161,13161,13166,13166,13166,13166,13161,13161,13161,13161,13164,13164,13164,13160,647.0,647.0,647.0,567.0,567.0,529.0,529.0,582.0,582.0,582.0,582.0,582.0,587.0,586.0,586.0,650.0,650.0,646.0,646.0,646.0,872.0,898.0,883.0,883.0,1029.0,1029.0,1295.0,1595.0,1595.0,2086.0,2086.0,2157.0
12801,12801,12801,12801,12801,12793,12793,12793,12793,12791,12791,12791,12791,12798,12798,12798,12806,526.0,526.0,526.0,530.0,530.0,523.0,523.0,524.0,524.0,524.0,524.0,524.0,568.0,586.0,586.0,637.0,637.0,636.0,636.0,636.0,662.0,680.0,758.0,758.0,950.0,950.0,1276.0,1593.0,1593.0,1593.0,1593.0,2094.0
12191,12191,12191,12191,12191,12188,12188,12188,12188,12190,12190,12190,12190,12199,12199,12199,12193,521.0,521.0,521.0,522.0,522.0,489.0,489.0,494.0,494.0,518.0,518.0,518.0,486.0,567.0,567.0,618.0,618.0,615.0,615.0,615.0,656.0,669.0,675.0,675.0,895.0,895.0,1027.0,1585.0,1585.0,1591.0,1591.0,1598.0
10126,10126,10126,10126,10126,10129,10129,10129,10129,10124,10124,10124,10124,10126,10126,10126,10117,517.0,517.0,517.0,438.0,438.0,428.0,428.0,451.0,451.0,477.0,477.0,477.0,442.0,514.0,514.0,570.0,570.0,607.0,607.0,607.0,641.0,655.0,667.0,667.0,820.0,820.0,950.0,1303.0,1303.0,1481.0,1481.0,1596.0
7970,7970,7970,7970,7970,7968,7968,7968,7968,7965,7965,7965,7965,7963,7963,7963,7968,516.0,516.0,516.0,391.0,391.0,401.0,401.0,437.0,437.0,470.0,470.0,470.0,436.0,485.0,485.0,564.0,564.0,602.0,602.0,602.0,632.0,650.0,657.0,657.0,675.0,675.0,893.0,1279.0,1279.0,1291.0,1291.0,1518.0
7045,7045,7045,7045,7045,7052,7052,7052,7052,7044,7044,7044,7044,7044,7044,7044,7051,481.0,481.0,481.0,372.0,372.0,391.0,391.0,380.0,380.0,435.0,435.0,435.0,385.0,468.0,468.0,523.0,523.0,570.0,570.0,570.0,621.0,634.0,640.0,640.0,671.0,671.0,836.0,1037.0,1037.0,1031.0,1031.0,1296.0
6232,6232,6232,6232,6232,6241,6241,6241,6241,6238,6238,6238,6238,6234,6234,6234,6236,448.0,448.0,448.0,369.0,369.0,379.0,379.0,377.0,377.0,385.0,385.0,385.0,376.0,379.0,379.0,483.0,483.0,497.0,497.0,497.0,615.0,628.0,626.0,626.0,662.0,662.0,749.0,960.0,960.0,952.0,952.0,1288.0
6199,6199,6199,6199,6199,6203,6203,6203,6203,6208,6208,6208,6208,6202,6202,6202,6202,438.0,438.0,438.0,366.0,366.0,376.0,376.0,293.0,293.0,375.0,375.0,375.0,375.0,329.0,329.0,468.0,468.0,493.0,493.0,493.0,611.0,611.0,613.0,613.0,654.0,654.0,677.0,897.0,897.0,894.0,894.0,893.0
4877,4877,4877,4877,4877,4872,4872,4872,4872,4866,4866,4866,4866,4870,4870,4870,4870,389.0,389.0,389.0,360.0,360.0,375.0,375.0,247.0,247.0,313.0,313.0,313.0,329.0,270.0,270.0,431.0,431.0,492.0,492.0,492.0,580.0,601.0,613.0,613.0,642.0,642.0,672.0,836.0,836.0,855.0,855.0,847.0
4855,4855,4855,4855,4855,4863,4863,4863,4863,4855,4855,4855,4855,4863,4863,4863,4853,374.0,374.0,374.0,297.0,297.0,297.0,297.0,241.0,241.0,257.0,257.0,257.0,265.0,256.0,256.0,385.0,385.0,451.0,451.0,451.0,498.0,544.0,606.0,606.0,627.0,627.0,666.0,762.0,762.0,774.0,774.0,782.0
3756,3756,3756,3756,3756,3753,3753,3753,3753,3763,3763,3763,3763,3759,3759,3759,3752,374.0,374.0,374.0,293.0,293.0,289.0,289.0,237.0,237.0,251.0,251.0,251.0,259.0,253.0,253.0,376.0,376.0,444.0,444.0,444.0,459.0,500.0,495.0,495.0,620.0,620.0,647.0,682.0,682.0,764.0,764.0,772.0
3406,3406,3406,3406,3406,3407,3407,3407,3407,3398,3398,3398,3398,3405,3405,3405,3408,362.0,362.0,362.0,274.0,274.0,237.0,237.0,233.0,233.0,249.0,249.0,249.0,255.0,250.0,250.0,329.0,329.0,386.0,386.0,386.0,454.0,455.0,453.0,453.0,614.0,614.0,627.0,678.0,678.0,704.0,704.0,766.0
1703,1703,1703,1703,1703,1706,1706,1706,1706,1706,1706,1706,1706,1711,1711,1711,1709,334.0,334.0,334.0,243.0,243.0,233.0,233.0,217.0,217.0,241.0,241.0,241.0,247.0,248.0,248.0,322.0,322.0,363.0,363.0,363.0,387.0,396.0,416.0,416.0,606.0,606.0,622.0,646.0,646.0,647.0,647.0,674.0
1169,1169,1169,1169,1169,1166,1166,1166,1166,1169,1169,1169,1169,1168,1168,1168,1168,309.0,309.0,309.0,218.0,218.0,205.0,205.0,206.0,206.0,238.0,238.0,238.0,245.0,241.0,241.0,310.0,310.0,348.0,348.0,348.0,370.0,374.0,397.0,397.0,561.0,561.0,613.0,613.0,613.0,646.0,646.0,649.0
797,797,797,797,797,792,792,792,792,802,802,802,802,793,793,793,801,303.0,303.0,303.0,211.0,211.0,200.0,200.0,201.0,201.0,219.0,219.0,219.0,226.0,239.0,239.0,300.0,300.0,347.0,347.0,347.0,365.0,373.0,388.0,388.0,510.0,510.0,576.0,579.0,579.0,608.0,608.0,617.0
702,702,702,702,702,704,704,704,704,701,701,701,701,702,702,702,704,301.0,301.0,301.0,199.0,199.0,195.0,195.0,198.0,198.0,208.0,208.0,208.0,225.0,227.0,227.0,292.0,292.0,336.0,336.0,336.0,363.0,360.0,377.0,377.0,500.0,500.0,498.0,552.0,552.0,599.0,599.0,582.0
691,691,691,691,691,691,691,691,691,692,692,692,692,687,687,687,694,292.0,292.0,292.0,191.0,191.0,183.0,183.0,185.0,185.0,200.0,200.0,200.0,215.0,225.0,225.0,272.0,272.0,332.0,332.0,332.0,340.0,358.0,375.0,375.0,482.0,482.0,497.0,524.0,524.0,579.0,579.0,513.0
613,613,613,613,613,613,613,613,613,611,611,611,611,613,613,613,615,278.0,278.0,278.0,186.0,186.0,182.0,182.0,182.0,182.0,199.0,199.0,199.0,210.0,218.0,218.0,261.0,261.0,302.0,302.0,302.0,333.0,354.0,364.0,364.0,459.0,459.0,464.0,497.0,497.0,502.0,502.0,397.0
456,456,456,456,456,462,462,462,462,457,457,457,457,460,460,460,457,275.0,275.0,275.0,174.0,174.0,175.0,175.0,181.0,181.0,190.0,190.0,190.0,206.0,215.0,215.0,253.0,253.0,267.0,267.0,267.0,306.0,343.0,341.0,341.0,393.0,393.0,391.0,440.0,440.0,482.0,482.0,394.0
443,443,443,443,443,442,442,442,442,445,445,445,445,443,443,443,444,260.0,260.0,260.0,171.0,171.0,174.0,174.0,178.0,178.0,187.0,187.0,187.0,201.0,208.0,208.0,250.0,250.0,264.0,264.0,264.0,302.0,328.0,309.0,309.0,389.0,389.0,387.0,391.0,391.0,471.0,471.0,382.0
441,441,441,441,441,442,442,442,442,441,441,441,441,442,442,442,443,216.0,216.0,216.0,170.0,170.0,167.0,167.0,176.0,176.0,177.0,177.0,177.0,194.0,206.0,206.0,247.0,247.0,254.0,254.0,254.0,297.0,305.0,307.0,307.0,374.0,374.0,374.0,380.0,380.0,396.0,396.0,329.0
422,422,422,422,422,421,421,421,421,425,425,425,425,426,426,426,427,195.0,195.0,195.0,168.0,168.0,162.0,162.0,163.0,163.0,177.0,177.0,177.0,188.0,186.0,186.0,244.0,244.0,254.0,254.0,254.0,266.0,297.0,276.0,276.0,361.0,361.0,359.0,380.0,380.0,389.0,389.0,317.0
372,372,372,372,372,371,371,371,371,376,376,376,376,375,375,375,379,190.0,190.0,190.0,165.0,165.0,161.0,161.0,159.0,159.0,171.0,171.0,171.0,186.0,179.0,179.0,232.0,232.0,244.0,244.0,244.0,253.0,272.0,257.0,257.0,339.0,339.0,357.0,370.0,370.0,381.0,381.0,317.0
267,267,267,267,267,261,261,261,261,261,261,261,261,262,262,262,261,182.0,182.0,182.0,162.0,162.0,151.0,151.0,157.0,157.0,163.0,163.0,163.0,179.0,167.0,167.0,228.0,228.0,231.0,231.0,231.0,244.0,251.0,253.0,253.0,324.0,324.0,323.0,363.0,363.0,328.0,328.0,317.0
260,260,260,260,260,259,259,259,259,260,260,260,260,261,261,261,260,170.0,170.0,170.0,154.0,154.0,141.0,141.0,152.0,152.0,163.0,163.0,163.0,176.0,163.0,163.0,215.0,215.0,231.0,231.0,231.0,243.0,248.0,243.0,243.0,307.0,307.0,320.0,329.0,329.0,303.0,303.0,306.0
252,252,252,252,252,251,251,251,251,254,254,254,254,251,251,251,251,170.0,170.0,170.0,151.0,151.0,141.0,141.0,142.0,142.0,149.0,149.0,149.0,169.0,156.0,156.0,209.0,209.0,223.0,223.0,223.0,230.0,244.0,225.0,225.0,303.0,303.0,306.0,321.0,321.0,289.0,289.0,287.0
245,245,245,245,245,251,251,251,251,252,252,252,252,245,245,245,250,169.0,169.0,169.0,142.0,142.0,140.0,140.0,139.0,139.0,141.0,141.0,141.0,166.0,153.0,153.0,196.0,196.0,208.0,208.0,208.0,224.0,230.0,224.0,224.0,275.0,275.0,294.0,294.0,294.0,272.0,272.0,286.0
244,244,244,244,244,244,244,244,244,244,244,244,244,242,242,242,241,156.0,156.0,156.0,131.0,131.0,136.0,136.0,131.0,131.0,132.0,132.0,132.0,162.0,143.0,143.0,188.0,188.0,200.0,200.0,200.0,218.0,223.0,205.0,205.0,263.0,263.0,280.0,280.0,280.0,269.0,269.0,283.0
213,213,213,213,213,213,213,213,213,212,212,212,212,216,216,216,216,155.0,155.0,155.0,130.0,130.0,124.0,124.0,124.0,124.0,131.0,131.0,131.0,156.0,137.0,137.0,178.0,178.0,180.0,180.0,180.0,213.0,221.0,184.0,184.0,263.0,263.0,276.0,270.0,270.0,269.0,269.0,261.0
210,210,210,210,210,207,207,207,207,207,207,207,207,208,208,208,208,143.0,143.0,143.0,116.0,116.0,119.0,119.0,122.0,122.0,127.0,127.0,127.0,144.0,132.0,132.0,162.0,162.0,176.0,176.0,176.0,210.0,190.0,169.0,169.0,245.0,245.0,275.0,258.0,258.0,263.0,263.0,256.0
182,182,182,182,182,184,184,184,184,182,182,182,182,180,180,180,183,138.0,138.0,138.0,115.0,115.0,119.0,119.0,120.0,120.0,125.0,125.0,125.0,133.0,130.0,130.0,157.0,157.0,168.0,168.0,168.0,184.0,185.0,168.0,168.0,229.0,229.0,261.0,257.0,257.0,255.0,255.0,236.0
174,174,174,174,174,175,175,175,175,170,170,170,170,171,171,171,174,131.0,131.0,131.0,114.0,114.0,116.0,116.0,118.0,118.0,120.0,120.0,120.0,132.0,128.0,128.0,156.0,156.0,159.0,159.0,159.0,181.0,170.0,168.0,168.0,223.0,223.0,260.0,231.0,231.0,245.0,245.0,216.0
169,169,169,169,169,171,171,171,171,169,169,169,169,170,170,170,169,131.0,131.0,131.0,109.0,109.0,105.0,105.0,109.0,109.0,119.0,119.0,119.0,129.0,127.0,127.0,149.0,149.0,158.0,158.0,158.0,165.0,165.0,160.0,160.0,213.0,213.0,231.0,228.0,228.0,235.0,235.0,216.0
168,168,168,168,168,164,164,164,164,167,167,167,167,166,166,166,168,130.0,130.0,130.0,106.0,106.0,105.0,105.0,105.0,105.0,102.0,102.0,102.0,129.0,127.0,127.0,133.0,133.0,157.0,157.0,157.0,165.0,164.0,160.0,160.0,195.0,195.0,217.0,225.0,225.0,231.0,231.0,210.0
161,161,161,161,161,163,163,163,163,161,161,161,161,163,163,163,164,123.0,123.0,123.0,101.0,101.0,104.0,104.0,103.0,103.0,99.0,99.0,99.0,122.0,124.0,124.0,131.0,131.0,155.0,155.0,155.0,161.0,162.0,160.0,160.0,188.0,188.0,213.0,222.0,222.0,226.0,226.0,205.0
144,144,144,144,144,141,141,141,141,139,139,139,139,140,140,140,140,114.0,114.0,114.0,100.0,100.0,103.0,103.0,101.0,101.0,97.0,97.0,97.0,121.0,119.0,119.0,127.0,127.0,137.0,137.0,137.0,158.0,158.0,159.0,159.0,167.0,167.0,212.0,218.0,218.0,217.0,217.0,203.0
109,109,109,109,109,110,110,110,110,110,110,110,110,111,111,111,110,113.0,113.0,113.0,99.0,99.0,98.0,98.0,97.0,97.0,94.0,94.0,94.0,116.0,96.0,96.0,127.0,127.0,131.0,131.0,131.0,157.0,149.0,152.0,152.0,166.0,166.0,197.0,209.0,209.0,212.0,212.0,202.0
108,108,108,108,108,110,110,110,110,110,110,110,110,109,109,109,110,110.0,110.0,110.0,95.0,95.0,96.0,96.0,95.0,95.0,81.0,81.0,81.0,104.0,95.0,95.0,123.0,123.0,129.0,129.0,129.0,153.0,148.0,149.0,149.0,162.0,162.0,196.0,205.0,205.0,208.0,208.0,198.0
105,105,105,105,105,104,104,104,104,104,104,104,104,106,106,106,108,109.0,109.0,109.0,95.0,95.0,95.0,95.0,93.0,93.0,81.0,81.0,81.0,100.0,95.0,95.0,123.0,123.0,128.0,128.0,128.0,150.0,146.0,146.0,146.0,161.0,161.0,191.0,199.0,199.0,204.0,204.0,194.0
102,102,102,102,102,103,103,103,103,100,100,100,100,102,102,102,103,108.0,108.0,108.0,94.0,94.0,94.0,94.0,93.0,93.0,80.0,80.0,80.0,97.0,94.0,94.0,103.0,103.0,128.0,128.0,128.0,141.0,143.0,140.0,140.0,161.0,161.0,175.0,176.0,176.0,186.0,186.0,192.0
95,95,95,95,95,93,93,93,93,94,94,94,94,96,96,96,94,107.0,107.0,107.0,88.0,88.0,94.0,94.0,92.0,92.0,78.0,78.0,78.0,93.0,85.0,85.0,93.0,93.0,115.0,115.0,115.0,137.0,139.0,136.0,136.0,157.0,157.0,168.0,167.0,167.0,169.0,169.0,189.0
74,74,74,74,74,77,77,77,77,79,79,79,79,75,75,75,74,103.0,103.0,103.0,86.0,86.0,86.0,86.0,90.0,90.0,78.0,78.0,78.0,92.0,85.0,85.0,93.0,93.0,105.0,105.0,105.0,131.0,136.0,133.0,133.0,154.0,154.0,167.0,162.0,162.0,164.0,164.0,189.0
74,74,74,74,74,76,76,76,76,74,74,74,74,73,73,73,74,99.0,99.0,99.0,86.0,86.0,84.0,84.0,83.0,83.0,73.0,73.0,73.0,86.0,84.0,84.0,92.0,92.0,105.0,105.0,105.0,130.0,133.0,132.0,132.0,150.0,150.0,164.0,162.0,162.0,163.0,163.0,167.0
67,67,67,67,67,66,66,66,66,69,69,69,69,69,69,69,70,97.0,97.0,97.0,82.0,82.0,83.0,83.0,82.0,82.0,67.0,67.0,67.0,83.0,83.0,83.0,92.0,92.0,103.0,103.0,103.0,127.0,133.0,130.0,130.0,150.0,150.0,159.0,156.0,156.0,159.0,159.0,164.0
50,50,50,50,50,46,46,46,46,48,48,48,48,49,49,49,48,95.0,95.0,95.0,79.0,79.0,79.0,79.0,79.0,79.0,65.0,65.0,65.0,81.0,75.0,75.0,86.0,86.0,101.0,101.0,101.0,127.0,131.0,128.0,128.0,150.0,150.0,154.0,151.0,151.0,151.0,151.0,153.0
34,34,34,34,34,36,36,36,36,37,37,37,37,39,39,39,34,95.0,95.0,95.0,79.0,79.0,76.0,76.0,77.0,77.0,62.0,62.0,62.0,80.0,72.0,72.0,84.0,84.0,96.0,96.0,96.0,127.0,130.0,123.0,123.0,134.0,134.0,154.0,150.0,150.0,150.0,150.0,145.0
32,32,32,32,32,34,34,34,34,36,36,36,36,34,34,34,31,89.0,89.0,89.0,77.0,77.0,76.0,76.0,74.0,74.0,61.0,61.0,61.0,80.0,71.0,71.0,84.0,84.0,91.0,91.0,91.0,125.0,111.0,115.0,115.0,133.0,133.0,149.0,148.0,148.0,145.0,145.0,145.0
24,24,24,24,24,22,22,22,22,23,23,23,23,24,24,24,23,87.0,87.0,87.0,76.0,76.0,74.0,74.0,66.0,66.0,61.0,61.0,61.0,79.0,66.0,66.0,82.0,82.0,90.0,90.0,90.0,116.0,109.0,112.0,112.0,131.0,131.0,144.0,142.0,142.0,142.0,142.0,142.0
18,18,18,18,18,19,19,19,19,19,19,19,19,18,18,18,17,84.0,84.0,84.0,75.0,75.0,74.0,74.0,,,58.0,58.0,58.0,76.0,66.0,66.0,79.0,79.0,86.0,86.0,86.0,112.0,104.0,110.0,110.0,131.0,131.0,141.0,135.0,135.0,140.0,140.0,139.0
13,13,13,13,13,13,13,13,13,11,11,11,11,13,13,13,13,80.0,80.0,80.0,74.0,74.0,71.0,71.0,,,58.0,58.0,58.0,70.0,63.0,63.0,78.0,78.0,85.0,85.0,85.0,107.0,101.0,106.0,106.0,127.0,127.0,137.0,134.0,134.0,136.0,136.0,138.0
12,12,12,12,12,11,11,11,11,11,11,11,11,10,10,10,12,79.0,79.0,79.0,72.0,72.0,69.0,69.0,,,,,,70.0,62.0,62.0,,,85.0,85.0,85.0,106.0,95.0,105.0,105.0,123.0,123.0,135.0,133.0,133.0,136.0,136.0,137.0
11,11,11,11,11,10,10,10,10,11,11,11,11,10,10,10,12,,,,,,,,,,,,,66.0,,,,,82.0,82.0,82.0,104.0,95.0,100.0,100.0,113.0,113.0,134.0,127.0,127.0,130.0,130.0,129.0
8,8,8,8,8,9,9,9,9,8,8,8,8,9,9,9,9,,,,,,,,,,,,,,,,,,,,,100.0,93.0,97.0,97.0,109.0,109.0,131.0,125.0,125.0,129.0,129.0,129.0
6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,7,,,,,,,,,,,,,,,,,,,,,97.0,92.0,96.0,96.0,109.0,109.0,127.0,125.0,125.0,127.0,127.0,127.0
5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,91.0,96.0,96.0,108.0,108.0,120.0,124.0,124.0,126.0,126.0,126.0
5,5,5,5,5,4,4,4,4,5,5,5,5,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,90.0,95.0,95.0,107.0,107.0,114.0,122.0,122.0,124.0,124.0,125.0
4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,89.0,95.0,95.0,105.0,105.0,113.0,114.0,114.0,121.0,121.0,120.0
3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,88.0,88.0,98.0,98.0,110.0,114.0,114.0,117.0,117.0,112.0
2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,86.0,86.0,98.0,98.0,107.0,111.0,111.0,113.0,113.0,109.0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,86.0,86.0,,,105.0,111.0,111.0,112.0,112.0,109.0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,83.0,83.0,,,,109.0,109.0,110.0,110.0,108.0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,101.0,106.0,106.0,107.0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,97.0,,,104.0
1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,96.0,,,101.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,95.0,,,95.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
